UserID,Game,Action,Hours
151603712.0,The Elder Scrolls V Skyrim,play,273.0
151603712.0,Fallout 4,play,87.0
151603712.0,Spore,play,14.9
151603712.0,Fallout New Vegas,play,12.1
151603712.0,HuniePop,play,8.5
151603712.0,Path of Exile,play,8.1
151603712.0,Team Fortress 2,play,2.8
151603712.0,The Banner Saga,play,2.0
151603712.0,BioShock Infinite,play,1.3
151603712.0,Dragon Age Origins - Ultimate Edition,play,1.3
151603712.0,Fallout 3 - Game of the Year Edition,play,0.8
151603712.0,SEGA Genesis & Mega Drive Classics,play,0.8
151603712.0,Grand Theft Auto IV,play,0.6
151603712.0,Marvel Heroes 2015,play,0.5
151603712.0,Eldevin,play,0.5
151603712.0,BioShock,play,0.5
59945701.0,Ultra Street Fighter IV,play,238.0
59945701.0,FINAL FANTASY XIII,play,84.0
59945701.0,The Elder Scrolls V Skyrim,play,58.0
59945701.0,Company of Heroes Tales of Valor,play,10.2
59945701.0,7 Days to Die,play,7.8
59945701.0,FINAL FANTASY VII,play,5.2
59945701.0,Orcs Must Die! 2,play,4.8
59945701.0,Killing Floor,play,3.4
59945701.0,Company of Heroes,play,3.2
59945701.0,Undertale,play,2.6
59945701.0,Counter-Strike Global Offensive,play,2.3
59945701.0,Orcs Must Die!,play,0.7
59945701.0,Skullgirls,play,0.4
59945701.0,Assassin's Creed II,play,0.3
59945701.0,Company of Heroes Opposing Fronts,play,0.1
59945701.0,Team Fortress 2,play,0.1
53875128.0,Grand Theft Auto V,play,86.0
53875128.0,Insurgency,play,72.0
53875128.0,Left 4 Dead 2,play,71.0
53875128.0,METAL GEAR SOLID V THE PHANTOM PAIN,play,59.0
53875128.0,S.T.A.L.K.E.R. Shadow of Chernobyl,play,54.0
53875128.0,S.T.A.L.K.E.R. Call of Pripyat,play,50.0
53875128.0,Saints Row The Third,play,35.0
53875128.0,Far Cry 3,play,35.0
53875128.0,S.T.A.L.K.E.R. Clear Sky,play,35.0
53875128.0,Assassin's Creed II,play,33.0
53875128.0,Far Cry 4,play,32.0
53875128.0,Mirror's Edge,play,23.0
53875128.0,Mad Max,play,22.0
53875128.0,Portal 2,play,21.0
